Periodo;Rata (€);Quota Interessi (€);Quota Capitale (€);Debito Residuo (€)
1;81,25;81,25;0,0;30000,0
2;81,25;81,25;0,0;30000,0
3;81,25;81,25;0,0;30000,0
4;81,25;81,25;0,0;30000,0
5;81,25;81,25;0,0;30000,0
6;81,25;81,25;0,0;30000,0
7;81,25;81,25;0,0;30000,0
8;81,25;81,25;0,0;30000,0
9;81,25;81,25;0,0;30000,0
10;81,25;81,25;0,0;30000,0
11;81,25;81,25;0,0;30000,0
12;81,25;81,25;0,0;30000,0
13;81,25;81,25;0,0;30000,0
14;81,25;81,25;0,0;30000,0
15;81,25;81,25;0,0;30000,0
16;81,25;81,25;0,0;30000,0
17;81,25;81,25;0,0;30000,0
18;81,25;81,25;0,0;30000,0
19;81,25;81,25;0,0;30000,0
20;81,25;81,25;0,0;30000,0
21;81,25;81,25;0,0;30000,0
22;81,25;81,25;0,0;30000,0
23;81,25;81,25;0,0;30000,0
24;81,25;81,25;0,0;30000,0
25;81,25;81,25;0,0;30000,0
26;81,25;81,25;0,0;30000,0
27;81,25;81,25;0,0;30000,0
28;81,25;81,25;0,0;30000,0
29;81,25;81,25;0,0;30000,0
30;81,25;81,25;0,0;30000,0
31;81,25;81,25;0,0;30000,0
32;81,25;81,25;0,0;30000,0
33;81,25;81,25;0,0;30000,0
34;81,25;81,25;0,0;30000,0
35;81,25;81,25;0,0;30000,0
36;81,25;81,25;0,0;30000,0
37;81,25;81,25;0,0;30000,0
38;81,25;81,25;0,0;30000,0
39;81,25;81,25;0,0;30000,0
40;81,25;81,25;0,0;30000,0
41;81,25;81,25;0,0;30000,0
42;81,25;81,25;0,0;30000,0
43;81,25;81,25;0,0;30000,0
44;81,25;81,25;0,0;30000,0
45;81,25;81,25;0,0;30000,0
46;81,25;81,25;0,0;30000,0
47;81,25;81,25;0,0;30000,0
48;81,25;81,25;0,0;30000,0
49;81,25;81,25;0,0;30000,0
50;81,25;81,25;0,0;30000,0
51;81,25;81,25;0,0;30000,0
52;81,25;81,25;0,0;30000,0
53;81,25;81,25;0,0;30000,0
54;81,25;81,25;0,0;30000,0
55;81,25;81,25;0,0;30000,0
56;81,25;81,25;0,0;30000,0
57;81,25;81,25;0,0;30000,0
58;81,25;81,25;0,0;30000,0
59;81,25;81,25;0,0;30000,0
60;30081,25;81,25;30000,0;0,0
